===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.16.141/auth/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,txt,js,css,php
[+] Timeout:                 10s
===============================================================
2021/08/02 11:06:56 Starting gobuster in directory enumeration mode
===============================================================
/_backup.php          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_backup.php]
/.htaccess            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.htaccess]  
/_adm.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_adm.txt]   
/_install.php         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_install.php]
/_code.txt            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_code.txt]   
/_database.php        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_database.php]
/_layouts             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_layouts]     
/_baks                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_baks]        
/_conf.css            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_conf.css]    
/.svn/entries         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.svn/entries] 
/_old.php             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_old.php]     
/.htaccess.html       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.htaccess.html]
/_adm.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_adm.js]       
/_install.html        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_install.html] 
/_baks.html           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_baks.html]    
/_database.html       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_database.html]
/_code.js             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_code.js]      
/.svn/entries.txt     (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.svn/entries.txt]
/_layouts.php         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_layouts.php]    
/_conf                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_conf]           
/_old                 (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_old]            
/_db_backups.php      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_db_backups.php] 
/_install             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_install]        
