===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.6.123/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,txt,js,css,php
[+] Timeout:                 10s
===============================================================
2021/08/05 12:03:55 Starting gobuster in directory enumeration mode
===============================================================
/account              (Status: 301) [Size: 150] [--> http://10.10.6.123/account/]
/Admin                (Status: 302) [Size: 171] [--> http://10.10.6.123/Account/login.aspx?ReturnURL=/Admin]
/ADMIN                (Status: 302) [Size: 171] [--> http://10.10.6.123/Account/login.aspx?ReturnURL=/ADMIN]
/admin                (Status: 302) [Size: 171] [--> http://10.10.6.123/Account/login.aspx?ReturnURL=/admin]
/archive              (Status: 200) [Size: 8299]                                                            
/Archive              (Status: 200) [Size: 8299]                                                            
/archives             (Status: 200) [Size: 8300]                                                            
/aux.html             (Status: 500) [Size: 1763]                                                            
/aux.txt              (Status: 500) [Size: 1763]                                                            
/aux.js               (Status: 500) [Size: 1763]                                                            
/aux.css              (Status: 500) [Size: 1763]                                                            
/aspnet_client        (Status: 301) [Size: 156] [--> http://10.10.6.123/aspnet_client/]                     
/aux.php              (Status: 500) [Size: 1763]                                                            
/aux                  (Status: 500) [Size: 1763]                                                            
/Blog                 (Status: 500) [Size: 1208]                                                            
/blog                 (Status: 500) [Size: 1208]                                                            
/com1.js              (Status: 500) [Size: 1763]                                                            
/com2.html            (Status: 500) [Size: 1763]                                                            
/com3.php             (Status: 500) [Size: 1763]                                                            
/com2.txt             (Status: 500) [Size: 1763]                                                            
/com1.css             (Status: 500) [Size: 1763]                                                            
/com3                 (Status: 500) [Size: 1763]                                                            
/com2.js              (Status: 500) [Size: 1763]                                                            
/com1.php             (Status: 500) [Size: 1763]                                                            
/com3.html            (Status: 500) [Size: 1763]                                                            
/com2.css             (Status: 500) [Size: 1763]                                                            
/com3.txt             (Status: 500) [Size: 1763]                                                            
/com1.html            (Status: 500) [Size: 1763]                                                            
/com2                 (Status: 500) [Size: 1763]                                                            
/com3.js              (Status: 500) [Size: 1763]                                                            
/com1                 (Status: 500) [Size: 1763]                                                            
/con.js               (Status: 500) [Size: 1763]                                                            
/com2.php             (Status: 500) [Size: 1763]                                                            
/com3.css             (Status: 500) [Size: 1763]                                                            
