===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.170.6:9200/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              css,php,html,txt,js
[+] Timeout:                 10s
===============================================================
2021/07/12 21:13:51 Starting gobuster in directory enumeration mode
===============================================================
/_old                 (Status: 400) [Size: 313]
/_borders             (Status: 400) [Size: 329]
/_baks                (Status: 400) [Size: 317]
/_backup              (Status: 400) [Size: 325]
/_catalogs            (Status: 400) [Size: 333]
/_code                (Status: 400) [Size: 317]
/_config.js           (Status: 400) [Size: 337]
/_db_backups.txt      (Status: 400) [Size: 357]
/_common.php          (Status: 400) [Size: 341]
/_cache.js            (Status: 400) [Size: 333]
/_css                 (Status: 400) [Size: 313]
/_dev.txt             (Status: 400) [Size: 329]
/_data.css            (Status: 400) [Size: 333]
/.svn/entries.txt     (Status: 405) [Size: 108]
/_conf                (Status: 400) [Size: 317]
/_database.php        (Status: 400) [Size: 349]
/_.txt                (Status: 400) [Size: 317]
/_overlay.js          (Status: 400) [Size: 341]
/_dummy.txt           (Status: 400) [Size: 337]
/_derived.txt         (Status: 400) [Size: 345]
/_adm                 (Status: 400) [Size: 313]
/_images.js           (Status: 400) [Size: 337]
/_flash.html          (Status: 400) [Size: 341]
/_inc.js              (Status: 400) [Size: 325]
/_files.html          (Status: 400) [Size: 341]
/_includes.css        (Status: 400) [Size: 349]
/_fpclass.php         (Status: 400) [Size: 345]
/_img.php             (Status: 400) [Size: 329]
/_ajax.css            (Status: 400) [Size: 333]
/_include.js          (Status: 400) [Size: 341]
/_install.js          (Status: 400) [Size: 341]
/_layouts             (Status: 400) [Size: 329]
/_media               (Status: 400) [Size: 321]
/.git/HEAD.php        (Status: 405) [Size: 105]
/_js                  (Status: 400) [Size: 309]
/_mem_bin             (Status: 400) [Size: 329]
/_lib.css             (Status: 400) [Size: 329]
/_assets              (Status: 400) [Size: 325]
/_mmserverscripts.php (Status: 400) [Size: 377]
/_mygallery.js        (Status: 400) [Size: 349]
/_notes.html          (Status: 400) [Size: 341]
/_archive             (Status: 400) [Size: 329]
/_admin.txt           (Status: 400) [Size: 337]
/_net.php             (Status: 400) [Size: 329]
/_mm.txt              (Status: 400) [Size: 325]
